
				----------The Democratic Socialist Republic of Sri Lanka----------
						-presidential election 2022-


					-ELECTION RESULTS-

				Rajapaksha				Wickraamsinghe
				(SLPP)				(UNP)

Ampara				1				1
				(33.00)				(33.00)

Anuradhapura				0				1
				(0.00)				(33.00)

Badulla				0				0
				(0.00)				(0.00)

Batticaloa				0				0
				(0.00)				(0.00)

Colombo				0				0
				(0.00)				(0.00)

Galle				0				0
				(0.00)				(0.00)

Gampaha				0				0
				(0.00)				(0.00)

Hambantota				0				0
				(0.00)				(0.00)

Jaffna				0				0
				(0.00)				(0.00)

Kalutara				0				0
				(0.00)				(0.00)

Kandy				0				0
				(0.00)				(0.00)

Kegalle				0				0
				(0.00)				(0.00)

Killinochchi				0				0
				(0.00)				(0.00)

Kurunegala				0				0
				(0.00)				(0.00)

Mannar				0				0
				(0.00)				(0.00)

Mannar				0				0
				(0.00)				(0.00)

Matale				0				0
				(0.00)				(0.00)

Matara				0				0
				(0.00)				(0.00)

Monaragala				0				0
				(0.00)				(0.00)

Mullativu				0				0
				(0.00)				(0.00)

Polonnaruwa				0				0
				(0.00)				(0.00)

Puttalam				0				0
				(0.00)				(0.00)

Ratnapura				0				0
				(0.00)				(0.00)

Trincomalee				0				0
				(0.00)				(0.00)

Vavuniya				0				0
				(0.00)				(0.00)
				----------The Democratic Socialist Republic of Sri Lanka----------
						-presidential election 2022-


					-ELECTION RESULTS-

				Mahinda				Ranil
				(SLPP)				(UNPP)

Ampara				0				0
				(0.00)				(0.00)

Anuradhapura				0				0
				(0.00)				(0.00)

Badulla				0				0
				(0.00)				(0.00)

Batticaloa				0				0
				(0.00)				(0.00)

Colombo				0				0
				(0.00)				(0.00)

Galle				1				0
				(100.00)				(0.00)

Gampaha				0				0
				(0.00)				(0.00)

Hambantota				0				0
				(0.00)				(0.00)

Jaffna				0				0
				(0.00)				(0.00)

Kalutara				0				0
				(0.00)				(0.00)

Kandy				0				0
				(0.00)				(0.00)

Kegalle				0				0
				(0.00)				(0.00)

Killinochchi				0				0
				(0.00)				(0.00)

Kurunegala				0				0
				(0.00)				(0.00)

Mannar				0				0
				(0.00)				(0.00)

Mannar				0				0
				(0.00)				(0.00)

Matale				0				0
				(0.00)				(0.00)

Matara				0				0
				(0.00)				(0.00)

Monaragala				0				0
				(0.00)				(0.00)

Mullativu				0				0
				(0.00)				(0.00)

Polonnaruwa				0				0
				(0.00)				(0.00)

Puttalam				0				0
				(0.00)				(0.00)

Ratnapura				0				0
				(0.00)				(0.00)

Trincomalee				0				0
				(0.00)				(0.00)

Vavuniya				0				0
				(0.00)				(0.00)
